question,actual results,our results
Who is the mayor of the capital of French Polynesia?,capital,birthPlace/deathPlace/country
Which river does the Brooklyn Bridge cross?,crosses,team/formerTeam/associatedBand
Which books by Kerouac were published by Viking Press?,publisher/author,influencedBy/nationality/child
How many inhabitants does the largest city in Canada have?,largestCity,birthPlace/influencedBy/almaMater
Who created Family Guy?,creator,team/birthPlace/formerTeam
Who created Wikipedia?,author,birthPlace/country/employer
Who is the president of Eritrea?,leader,almaMater/nationality/deathPlace
In which country does the Nile start?,sourceCountry,team/associatedBand/associatedMusicalArtist
To which party does the mayor of Paris belong?,party,birthPlace/successor/residence
How often did Jane Fonda marry?,spouse,predecessor/successor/spouse
Does Abraham Lincoln's death place have a website?,deathPlace,formerTeam/team/relation
Who is the coach of Ankara's ice hockey team?,city/league/coach,team/formerTeam/draftTeam
Give me all cities in New Jersey with more than 100000 inhabitants.,isPartOf,almaMater/state/birthPlace
When did Dracula's creator die?,creator,relative/child/spouse
Did Arnold Schwarzenegger attend a university?,almaMater,formerTeam/team/successor
Who was married to president Chirac?,spouse,successor/associatedMusicalArtist/associatedBand
In which countries do people speak Japanese?,language,associatedMusicalArtist/associatedBand/successor
Which awards did Douglas Hofstadter win?,award,team/award/birthPlace
Who is starring in Spanish movies produced by Benicio del Toro?,country/producer/starring,award/associatedMusicalArtist/associatedBand
Is Rita Wilson the wife of Tom Hanks?,spouse,child/successor/associatedBand
Who is the son of Sonny and Cher?,parent/parent,child/birthPlace/almaMater
Who composed the music for Harold and Maude?,musicComposer,associatedMusicalArtist/associatedBand/child
Who wrote the book The Pillars of the Earth?,author,associatedBand/notableWork/influenced
Whom did Lance Bass marry?,spouse,predecessor/spouse/successor
Was Natalie Portman born in the United States?,birthPlace/country,birthPlace/team/nationality
Who are the developers of DBpedia?,developer,formerTeam/birthPlace/instrument
Who discovered Ceres?,discoverer,associatedBand/debutTeam/religion
Is Christian Bale starring in Velvet Goldmine?,starring,birthPlace/award/starring
Who is the host of the BBC Wildlife Specials?,presenter,knownFor/occupation/associatedBand
How many seats does the home stadium of FC Porto have?,ground,tenant/successor/owner
In which country does the Ganges start?,sourceCountry,team/associatedBand/associatedMusicalArtist
Which country does the creator of Miffy come from?,creator/nationality,portrayer/associatedMusicalArtist/associatedBand
What is the capital of Canada?,capital,country/birthPlace/deathPlace
In which U.S. state is Fort Knox located?,country,country/birthPlace/almaMater
What is the highest mountain in Italy?,locatedInArea,locatedInArea/mountainRange/trainer
Where is Syngman Rhee buried?,restingPlace,birthPlace/successor/deathPlace
Who created Batman?,creator,birthPlace/country/employer
Who was the pope that founded the Vatican Television?,foundedBy,associatedMusicalArtist/influencedBy/parent
In which military conflicts did Lawrence of Arabia participate?,battle,associatedMusicalArtist/associatedBand/successor
Which subsidiary of TUI Travel serves both Glasgow and Dublin?,subsidiary/targetAirport/targetAirport,successor/birthPlace/child
How many companies were founded by the founder of Facebook?,foundedBy/foundedBy,associatedBand/occupation/associatedMusicalArtist
Where was Bach born?,birthPlace,birthPlace/deathPlace/trainer
Which museum in New York has the most visitors?,location,birthPlace/successor/deathPlace
Who played Gus Fring in Breaking Bad?,portrayer,trainer/almaMater/formerTeam
Show me all books in Asimov's Foundation series.,series,series/influenced/knownFor
Which films did Stanley Kubrick direct?,director,successor/associatedBand/influencedBy
Who designed the Brooklyn Bridge?,architect,instrument/team/significantBuilding
What is the highest mountain in Australia?,locatedInArea,locatedInArea/mountainRange/trainer
What is the location of the Houses of Parliament?,location,location/associatedBand/associatedMusicalArtist
Show me Hemingway's autobiography.,author,knownFor/notableWork/influenced
Who was the wife of U.S. president Lincoln?,spouse,president/associatedMusicalArtist/successor
How many children did Benjamin Franklin have?,child,successor/associatedMusicalArtist/associatedBand
Who was the successor of John F. Kennedy?,successor,successor/president/primeMinister
Is the wife of president Obama called Michelle?,spouse,associatedBand/successor/president
Is Michelle Obama the wife of Barack Obama?,spouse,child/successor/associatedBand
Give me all actors starring in movies directed by William Shatner.,director/starring,award/starring/associatedBand
List the children of Margaret Thatcher.,child,child/spouse/successor
Is James Bond married?,spouse,child/successor/associatedBand
Who is the editor of Forbes?,editor,knownFor/employer/spouse
Who wrote the Game of Thrones theme?,composer,birthPlace/successor/associatedBand
Give me all actors starring in Last Action Hero.,starring,award/starring/associatedBand
Who is the daughter of Robert Kennedy married to?,child/spouse,child/spouse/associatedBand
In which country is the Limerick Lake?,country,team/associatedBand/successor
Who is the oldest child of Meryl Streep?,child,parent/team/child
Who is the youngest player in the Premier League?,team/league,team/formerTeam/birthPlace
Give me all video games published by Mean Hamster Software.,publisher,successor/team/associatedMusicalArtist
In which UK city are the headquarters of the MI6?,headquarter/country,birthPlace/associatedBand/almaMater
Who were the parents of Queen Victoria?,parent,associatedMusicalArtist/associatedBand/parent
In which films did Julia Roberts as well as Richard Gere play?,starring/starring,deathPlace/birthPlace/associatedBand
In which country is Mecca located?,country,location/birthPlace/producer
Who developed Slack?,product,birthPlace/associatedBand/country
Give me all books by William Goldman with more than 300 pages.,author,associatedBand/associatedMusicalArtist/influenced
Which professional surfers were born in Australia?,occupation/birthPlace,birthPlace/trainer/associatedBand
Who is the mayor of Rotterdam?,leaderName,birthPlace/residence/deathPlace
What was the first Queen album?,artist,album/successor/team
What is the largest city in Australia?,largestCity,birthPlace/almaMater/team
Give me all launch pads operated by NASA.,operator,associatedBand/owner/operator
In which city did John F. Kennedy die?,deathPlace,successor/team/formerTeam
In which city does Sylvester Stallone live?,residence,associatedBand/associatedMusicalArtist/country
Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,subsidiary/targetAirport/targetAirport,successor/birthPlace/nationality
Give me all movies directed by Francis Ford Coppola.,director,award/associatedBand/producer
Which scientist is known for the Manhattan Project and the Nobel Peace Prize?,knownFor/knownFor,associatedMusicalArtist/team/formerTeam
Is Christian Bale starring in Batman Begins?,starring,birthPlace/award/starring
Does the Isar flow into a lake?,inflow,riverMouth/team/party
Give me all Canadian Grunge record labels.,genre/country,recordLabel/team/associatedMusicalArtist
Show me the book that Muhammad Ali wrote.,author,successor/notableWork/associatedMusicalArtist
Where in France is sparkling wine produced?,location,associatedMusicalArtist/associatedBand/almaMater
Who was Vincent van Gogh inspired by?,influenced,influencedBy/associatedBand/associatedMusicalArtist
What country is Mount Everest in?,locatedInArea,birthPlace/associatedBand/team
Was the wife of president Lincoln called Mary?,spouse,associatedBand/successor/president
Did Elvis Presley have children?,child,child/successor/birthPlace
In which city does the Chile Route 68 end?,routeEnd,team/formerTeam/associatedBand
Who developed the video game World of Warcraft?,developer,associatedMusicalArtist/associatedBand/country
List all games by GMT.,publisher,developer/birthPlace/publisher
Who composed the soundtrack for Cameron's Titanic?,musicComposer,associatedMusicalArtist/associatedBand/album
Which professional surfers were born on the Philippines?,occupation/birthPlace,birthPlace/country/associatedBand
Give me all Swedish oceanographers.,field/birthPlace,influenced/associatedMusicalArtist/associatedBand
Which country was Bill Gates born in?,birthPlace/country,birthPlace/almaMater/nationality
Which television shows were created by Walt Disney?,creator,associatedBand/associatedMusicalArtist/creator
How many languages are spoken in Colombia?,language,birthPlace/influencedBy/trainer
For which label did Elvis record his first album?,artist/recordLabel,recordLabel/associatedBand/team
Where does Piccadilly start?,routeStart,team/formerTeam/birthPlace
How many languages are spoken in Turkmenistan?,language,birthPlace/influencedBy/trainer
Did Socrates influence Aristotle?,influencedBy,influenced/president/influencedBy
Who wrote the book Les Piliers de la terre?,author,successor/associatedBand/influenced
To which artistic movement did the painter of The Three Dancers belong?,author,associatedBand/associatedMusicalArtist/influencedBy
Who wrote the song Hotel California?,writer,associatedBand/associatedMusicalArtist/successor
List all episodes of the first season of the HBO television series The Sopranos.,series,series/team/formerTeam
Is Barack Obama a democrat?,party,team/successor/formerTeam
List all episodes of the first season of the HBO television series The Sopranos!,series,team/series/formerTeam
Who is the mayor of Tel Aviv?,leaderName,birthPlace/residence/deathPlace
In what city is the Heineken brewery?,manufacturer/locationCity,associatedBand/team/associatedMusicalArtist
In which city did Nikos Kazantzakis die?,deathPlace,successor/birthPlace/almaMater
Which companies produce hovercrafts?,product,associatedBand/associatedMusicalArtist/product
Did Tesla win a nobel prize in physics?,award,award/team/battle
Which Indian company has the most employees?,location,parentCompany/associatedBand/associatedMusicalArtist
Do Prince Harry and Prince William have the same parents?,parent/parent,associatedBand/team/child
Which electronics companies were founded in Beijing?,industry/foundationPlace,subsidiary/location/trainer
Who are the parents of the wife of Juan Carlos I?,spouse/parent,associatedMusicalArtist/associatedBand/parent
Which movies did Kurosawa direct?,director,influencedBy/successor/associatedMusicalArtist
How many people live in the capital of Australia?,capital,deathPlace/birthPlace/country
What country is Sitecore from?,foundationPlace,birthPlace/associatedBand/team
What was the last movie with Alec Guinness?,starring,award/birthPlace/team
Was U.S. president Jackson involved in a war?,battle,associatedMusicalArtist/party/associatedBand
Does Neymar play for Real Madrid?,team,formerTeam/birthPlace/almaMater
In which city was the president of Montenegro born?,birthPlace,birthPlace/almaMater/country
Which cities does the Weser flow through?,city,associatedBand/successor/team
List all the musicals with music by Elton John.,musicBy,associatedBand/associatedMusicalArtist/child
What is the biggest stadium in Spain?,location,location/owner/almaMater
Did Che Guevara have children?,child,child/successor/birthPlace
What is the capital of Cameroon?,capital,country/birthPlace/deathPlace
Which computer scientist won an oscar?,field/award,team/formerTeam/birthPlace
Who is the king of the Netherlands?,leader,predecessor/parent/birthPlace
Who was John F. Kennedy's vice president?,vicePresident,team/occupation/president
Who was the doctoral supervisor of Albert Einstein?,doctoralAdvisor,almaMater/country/birthPlace
Which movies starring Mickey Rourke were directed by Guy Ritchie?,starring/director,starring/associatedMusicalArtist/associatedBand
Which of Tim Burton's films had the highest budget?,director,team/award/formerTeam
Which airports does Yeti Airlines serve?,targetAirport,headquarter/birthPlace/deathPlace
In which city are the headquarters of the United Nations?,location,country/birthPlace/associatedBand
Give me all professional skateboarders from Sweden.,occupation/birthPlace/birthPlace/country,associatedBand/associatedMusicalArtist/successor
Give me all members of Prodigy.,bandMember,successor/associatedBand/associatedMusicalArtist
Give me the grandchildren of Elvis Presley.,child/child,child/spouse/predecessor
What did Bruce Carver die from?,deathCause,successor/team/predecessor
